objectid,rspomember,mill,certunit,icletdate,icdate,admin0,digitizer,source,shape_Length,shape_Area,globalid
26,Bumitama Agri Ltd,Gunung Makmur, ,"December 20, 2013","July 21, 2014",Indonesia,U of Wisconsin,IC,105338.428513025,213197308.161732,{2F41AD29-508F-44C6-AD70-4B4707F45033}
27,Golden Agri-Resources Ltd,Tanjung Kembiri, ,"June 14, 2013","May 21, 2014",Indonesia,U of Wisconsin,IC,156298.070041163,115512746.096528,{1088CF9E-848B-4EEF-86BD-8A01B01AF305}
28,Kuala Lumpur Kepong Berhad,Nilo 2, ,"April 23, 2013","May 14, 2014",Indonesia,U of Wisconsin,IC,42553.9943659988,69197021.729469,{C563FBF0-524E-4398-A610-220E638EA924}
29,PT Gawi Makmur Kalimantan,Jorong, ,"April 17, 2014","October 1, 2014",Indonesia,U of Wisconsin,IC,104428.073222249,92340694.5357486,{5CA16494-3EDB-415A-A7AB-02E564764815}
30,Cargill Incorporated,Paku Juang, ,"March 6, 2013","January 5, 2014",Indonesia,U of Wisconsin,IC,94833.8485798522,205580428.938947,{02652688-27B7-4BEA-B734-7BFC0897839C}
31,Golden Agri-Resources Ltd,Sungai Buaya, ,"July 1, 2013","May 2, 2014",Indonesia,U of Wisconsin,IC,449743.781474716,165762699.683564,{52BE432F-B9C2-4AA1-B0F7-C64BB98B1E10}
32,PT Dharma Satya Nusantara,PT DSN Mill 2, ,"May 24, 2013","March 25, 2014",Indonesia,U of Wisconsin,IC,58676.6413589215,102365965.219759,{BD849D2C-47F8-42F0-9D5C-49F36B00A1D0}
33,PT Dharma Satya Nusantara,PT DSN Mill 3, ,"July 15, 2013","March 25, 2014",Indonesia,U of Wisconsin,IC,110037.401443895,247872821.738457,{6056BFAC-A6F5-4552-AF85-D484430FFE46}
34,PT Ivo Mas Tunggal,Samsam, ,"May 3, 2013","October 14, 2013",Indonesia,U of Wisconsin,IC,51979.4591754532,103732568.48527,{EEFE9E9A-3527-458E-9A3B-B423B83EE282}
35,PT Perkebunan Nusantara III,Aek Raso, ,"November 9, 2011","June 30, 2014",Indonesia,U of Wisconsin,IC,28837.6445557091,35884933.8629118,{03B5BA10-9F75-4160-AF07-D3DD0D04456F}
36,PT Sawit Sumbermas Sarana,Sulung, ,"August 15, 2012","March 19, 2013",Indonesia,U of Wisconsin,IC,90525.7005693268,204337638.082379,{FF4D7F79-40CC-472E-9B55-D40F34809295}
37,PT Siringo Ringo,PT Siringo Ringo, ,"August 20, 2013","August 21, 2014",Indonesia,U of Wisconsin,IC,17652.7078213519,8804554.82636707,{8C00EA82-B755-4BF3-9204-E27C478A642C}
38,PT Smart TBK,Batu Ampar, ,"December 1, 2011","November 26, 2012",Indonesia,U of Wisconsin,ASA 1,167760.532834086,153654304.680663,{985C5078-CE61-4B03-9DF3-79FA38BC8C2D}
39,PT Tunas Baru Lampung Tbk,Tunas Baru Lampung, ,"April 20, 2012","November 1, 2013",Indonesia,U of Wisconsin,IC,50193.1946203227,55444682.4229738,{B86193DF-E52C-4BA5-B7A5-BEFA1F315B7D}
40,PT Smart TBK,Langling, ,"October 24, 2013","August 18, 2014",Indonesia,U of Wisconsin,IC,23747.1263134291,9539112.71284778,{F5F3268B-9B7D-405A-BA2F-55B27F22CB1F}
41,PT Smart TBK,Jelatan, ,"October 24, 2013","August 18, 2014",Indonesia,U of Wisconsin,IC,9991.14534786975,2347848.06454905,{2EA8EAB4-D47B-46C5-A896-E46DAEA7E60E}
42,PT Smart TBK,Muara Wahau, ,"December 23, 2013","September 17, 2014",Indonesia,U of Wisconsin, ,36225.8838322646,71497065.8690668,{5DD15BA9-D919-4D8F-A686-76857218B4C1}
43,PT Austindo Nusantara Jaya Agri,ANJ Agri Siais, ,"March 25, 2014","September 25, 2014",Indonesia,U of Wisconsin,IC,61847.9632338391,88607015.0179957,{BF8C5A26-DF89-4854-8B73-987320D08542}
44,Wilmar International Ltd,Gersindo, ,"January 23, 2013","April 21, 2014",Indonesia,U of Wisconsin,IC,77002.519388034,66546458.6125008,{44C66F35-6FC5-413A-B572-A67C105E7F56}
45,PT Ivo Mas Tunggal,Ujung Tanjung, ,"May 3, 2013","September 13, 2013",Indonesia,U of Wisconsin,IC,27928.4158771235,41825781.6761003,{E515AFD8-886F-41D6-958A-13AEEC15A584}
