X,Y,objectid,wri_id,mill_name_,group_name,latitude,longitude,iso,certificat,company_na,globalid
103.750800000047008,-2.916199999936232,2261,WRI_1111,Guthrie Pecconina Indonesia,Unknown,-2.9162,103.7508,IDN,RSPO Certified,Unknown,{3007D22B-F409-4403-8534-7B0CF230B931}
104.15030000029931,-2.535800000236356,2262,WRI_1112,Cahaya Cemerlang Lestari,Unknown,-2.5358,104.1503,IDN,None,Unknown,{9A131C8C-8CD2-49A0-9155-B739D26486B9}
103.201200000406189,-1.5851000002896,2263,WRI_1118,Inti Indosawit Subur (PKS Muara Bulian),Unknown,-1.5851,103.2012,IDN,RSPO Certified,Unknown,{D5E22083-3A89-4BDB-8AEB-1DCA34215947}
102.094999999647285,-0.223200000104646,2264,WRI_1119,Inti Indosawit Subur (PKS Ukai II),Unknown,-0.2232,102.095,IDN,None,Unknown,{0751311C-D45D-47B3-AAB9-6ECE8D59CEF2}
110.193899999776249,-0.038899999779574,2265,WRI_1121,Surya Borneo Indah,Unknown,-0.0389,110.1939,IDN,None,Unknown,{6B7648D8-2907-42C2-9640-FEAF7753D295}
103.724700000134177,-1.533999999985963,2266,WRI_1130,Erasakti Wira Forestama,Unknown,-1.534,103.7247,IDN,None,Unknown,{17CA8438-1F46-4EB1-BE22-F1A3B270F715}
111.59680000037018,-0.309199999798338,2267,WRI_1131,PT. Sinar Dinamika Kapuas,Unknown,-0.3092,111.5968,IDN,None,Unknown,{251AE640-EB0E-416C-A4FC-7798913EDABF}
110.431400000105,0.359100000388136,2268,WRI_1132,Mitra Austral Sejahtera,Unknown,0.3591,110.4314,IDN,None,Unknown,{08C84A8E-1E24-4F7F-8DEA-60C8DB8186F7}
101.039000000345226,4.305200000240667,2269,WRI_1134,BKT.KAPAH,Unknown,4.3052,101.039,MYS,None,Unknown,{EC44EB53-3CB0-4FD8-BCA2-FDF00EC5675B}
100.392399999868516,1.783699999625664,2270,WRI_1139,PT. Kencana Andalan Nusantara,Unknown,1.7837,100.3924,IDN,None,Unknown,{21276AD5-81A2-4A15-93FF-79FD8BF1B1D2}
