Date,Price,Open,High,Low,Vol.,Change %
2019-10-01,4.83,4.75,4.89,4.74,1.47M,2.11%
2019-09-30,4.73,4.83,4.84,4.68,3.20M,-1.46%
2019-09-27,4.80,4.93,4.93,4.76,3.11M,-1.64%
2019-09-26,4.88,4.82,4.90,4.82,751.90K,0.62%
2019-09-25,4.85,4.83,4.88,4.80,1.00M,-1.02%
2019-09-24,4.90,4.75,4.90,4.75,1.47M,3.16%
2019-09-23,4.75,4.87,4.87,4.74,1.19M,-2.86%
2019-09-20,4.89,4.83,4.90,4.80,9.68M,1.03%
2019-09-19,4.84,4.92,4.92,4.80,1.29M,-1.22%
2019-09-18,4.90,4.93,4.93,4.79,977.90K,0.41%
2019-09-17,4.88,4.78,4.88,4.73,3.05M,0.41%
2019-09-13,4.86,4.82,4.87,4.76,1.29M,0.21%
2019-09-12,4.85,4.85,4.92,4.82,2.10M,-1.62%
2019-09-11,4.93,4.94,4.94,4.85,3.71M,0.82%
2019-09-10,4.89,4.76,4.90,4.72,3.28M,0.41%
2019-09-06,4.87,4.86,4.88,4.66,2.91M,1.04%
2019-09-05,4.82,4.85,4.86,4.75,2.50M,-0.62%
2019-09-04,4.85,4.82,4.90,4.71,2.12M,1.46%
2019-09-03,4.78,5.00,5.00,4.74,1.08M,-4.02%
2019-08-30,4.98,4.95,5.00,4.80,3.41M,2.05%
2019-08-29,4.88,4.86,4.94,4.76,2.26M,0.41%
2019-08-28,4.86,4.79,4.89,4.71,1.46M,1.04%
2019-08-27,4.81,4.74,4.93,4.74,10.73M,0.00%
2019-08-26,4.81,4.72,4.81,4.68,1.58M,-0.21%
2019-08-23,4.82,4.70,4.84,4.67,1.95M,2.12%
2019-08-22,4.72,4.66,4.72,4.66,2.76M,0.21%
2019-08-21,4.71,4.72,4.74,4.64,4.24M,-0.21%
2019-08-20,4.72,4.71,4.73,4.63,3.82M,0.21%
2019-08-19,4.71,4.67,4.74,4.67,1.39M,0.21%
2019-08-16,4.70,4.68,4.72,4.61,2.13M,-2.29%
2019-08-15,4.81,4.53,4.81,4.51,2.08M,3.00%
2019-08-14,4.67,4.61,4.70,4.61,1.68M,1.52%
2019-08-13,4.60,4.60,4.76,4.59,4.29M,-1.50%
2019-08-09,4.67,4.59,4.68,4.59,1.62M,-0.64%
2019-08-08,4.70,4.49,4.74,4.49,1.43M,4.68%
2019-08-07,4.49,4.40,4.55,4.40,2.21M,1.58%
2019-08-06,4.42,4.41,4.45,4.22,3.41M,-0.67%
2019-08-05,4.45,4.54,4.56,4.42,3.17M,-2.41%
2019-08-02,4.56,4.60,4.60,4.54,1.95M,-1.51%
2019-08-01,4.63,4.60,4.63,4.53,1.45M,0.43%
2019-07-31,4.61,4.78,4.78,4.54,3.74M,-3.15%
2019-07-29,4.76,4.70,4.81,4.69,1.19M,0.85%
2019-07-26,4.72,4.78,4.85,4.70,2.84M,-2.07%
2019-07-25,4.82,4.71,4.83,4.71,728.00K,0.84%
2019-07-24,4.78,4.73,4.84,4.70,1.29M,0.00%
2019-07-23,4.78,4.70,4.86,4.67,1.90M,2.58%
2019-07-22,4.66,4.66,4.68,4.61,1.97M,-0.21%
2019-07-19,4.67,4.85,4.85,4.67,1.62M,-0.64%
2019-07-18,4.70,4.80,4.80,4.68,758.10K,-2.29%
2019-07-17,4.81,4.82,4.85,4.78,1.72M,-0.41%
2019-07-16,4.83,4.86,4.87,4.80,1.45M,-0.41%
2019-07-15,4.85,4.84,4.88,4.75,1.12M,0.41%
2019-07-12,4.83,4.88,4.89,4.80,2.85M,-0.62%
2019-07-11,4.86,4.85,4.87,4.84,2.95M,-0.41%
2019-07-10,4.88,4.87,4.91,4.86,2.24M,-0.41%
2019-07-09,4.90,4.87,4.91,4.85,1.02M,1.03%
2019-07-08,4.85,4.86,4.87,4.84,615.20K,-0.41%
2019-07-05,4.87,4.82,4.88,4.82,3.03M,0.83%
2019-07-04,4.83,4.88,4.96,4.83,2.33M,-0.82%
2019-07-03,4.87,4.89,4.89,4.83,1.67M,0.62%
2019-07-02,4.84,4.94,4.99,4.81,2.36M,-1.22%
2019-07-01,4.90,4.88,4.96,4.81,921.40K,-0.41%
2019-06-28,4.92,4.85,4.92,4.76,3.42M,1.23%
2019-06-27,4.86,4.84,4.87,4.80,2.43M,0.41%
2019-06-26,4.84,4.87,4.89,4.84,1.48M,-1.02%
