objectid,country,name,company,group_comp,subgroup,groupid,type,area_ha,source,last_updat,gfwid,cert_stat,globalid,shape_Length,shape_Area,globalid1
17166,MYS,Baram SB,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{A2C5B545-5A7F-4FE8-B4AE-77C507F30F5D},15656.3830275938,1846246.92423728,{A2C5B545-5A7F-4FE8-B4AE-77C507F30F5D}
17167,MYS,Alto SB,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{E3067956-859A-47E0-8869-F8D971A6C726},28456.039173614,45449035.7256001,{E3067956-859A-47E0-8869-F8D971A6C726}
17168,MYS,Sarawak Plantation Agriculture Dev. SB,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{D32BBE9B-5F0D-4A5A-967C-4BB652AE1DC5},46911.4774949683,45593506.9400996,{D32BBE9B-5F0D-4A5A-967C-4BB652AE1DC5}
17169,MYS,Bahtera SB,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{74F9A9A0-C732-454A-868B-734211EB2602},34662.9890217654,40385199.5190479,{74F9A9A0-C732-454A-868B-734211EB2602}
17170,MYS,Binu Plantation SB,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{7ABD427B-B42A-49A2-8323-CCB6A91F712B},50707.2285571219,50487905.6237615,{7ABD427B-B42A-49A2-8323-CCB6A91F712B}
17171,MYS,Kina Juara SB,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{FC9C3485-57B6-4D0A-AFDA-E89AD53CA16C},64779.1669504138,47293951.4333654,{FC9C3485-57B6-4D0A-AFDA-E89AD53CA16C}
17172,MYS,LCDA,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{3A83F5AC-F89A-4AC8-B02E-45C956A926D4},11661.234693616,5169855.24655727,{3A83F5AC-F89A-4AC8-B02E-45C956A926D4}
17173,MYS,Titanium Management SB - Part 2,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{A62C5D34-6962-4E12-B535-65204B7EA778},52252.9098848862,74337595.9988199,{A62C5D34-6962-4E12-B535-65204B7EA778}
17174,MYS,Amgreen Gain SB (Lot 1204 Puyut LD),Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{C8A00F54-423D-4CD2-89E5-00AF081DEDCC},34335.3308832744,51695018.0161108,{C8A00F54-423D-4CD2-89E5-00AF081DEDCC}
17175,MYS,Telliana Enterprise SB (Lot 1209 Puyut LD),Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{968BF0EC-7231-4ECF-B47B-528F2FF64FF2},33233.3839618616,28774613.1634119,{968BF0EC-7231-4ECF-B47B-528F2FF64FF2}
17176,MYS,Telliana Plantation SB (Lot 1213 Puyut LD),Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{D6D9FED3-1EA4-423A-ABAF-90539C413DA5},28582.8138511621,25122514.4664401,{D6D9FED3-1EA4-423A-ABAF-90539C413DA5}
17177,MYS,Lot 4 (LCDA),Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{4266D858-DCF8-46B9-8AD2-2F6322F691A0},20837.8684587651,13687970.7977183,{4266D858-DCF8-46B9-8AD2-2F6322F691A0}
17178,MYS,Magna Wide SB,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{6BFACA12-31BD-4AD8-BEE6-106705603D71},40409.1747880106,36539540.7755787,{6BFACA12-31BD-4AD8-BEE6-106705603D71}
17179,MYS,BJ Corporation SB,Other / Unknown, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{6AC3B8F0-D93C-4248-B14B-17281D14C606},35203.7590193116,47640238.9979828,{6AC3B8F0-D93C-4248-B14B-17281D14C606}
17180,MYS,SOP Tinbarap,Sarawak Oil Palms, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{FA18B150-9BF0-4092-8A43-FB6D6ADAEFCB},92487.1388242167,181003992.309807,{FA18B150-9BF0-4092-8A43-FB6D6ADAEFCB}
17181,MYS,Taniku SOP,Sarawak Oil Palms, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{DEA01832-F617-4CD0-B2AE-697C20101CD5},38001.266604781,52163367.2219485,{DEA01832-F617-4CD0-B2AE-697C20101CD5}
17182,MYS,SOP Sebungan,Sarawak Oil Palms, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{B490B7F1-A887-472E-8600-814D27571DB6},25666.7524135469,20800171.2270879,{B490B7F1-A887-472E-8600-814D27571DB6}
17183,MYS,SOP Kuala Tatau,Sarawak Oil Palms, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{8EC383C2-9BD8-41E3-B830-B80F39F72398},28564.9321231563,42065064.0339392,{8EC383C2-9BD8-41E3-B830-B80F39F72398}
17184,MYS,SOP Balingian,Sarawak Oil Palms, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{58FF2D57-37C0-4E69-8368-220FEE6A91C4},38597.5079677331,38495382.7016248,{58FF2D57-37C0-4E69-8368-220FEE6A91C4}
17185,MYS,layang estate,Sime Darby, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{4F0B671F-AEB1-499B-85F9-98ABDF0EC540},70497.7201911838,218075582.184004,{4F0B671F-AEB1-499B-85F9-98ABDF0EC540}
17186,MYS,Rajawali,Sime Darby, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{8A50636D-9223-413A-BF08-3B10EB9CADF0},34069.0780030809,34091411.9449719,{8A50636D-9223-413A-BF08-3B10EB9CADF0}
17187,MYS,Derawan,Sime Darby, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{141FD36E-4CA8-48BD-8D4D-7F2B9ADDB2CE},76614.0809391771,194764842.60742,{141FD36E-4CA8-48BD-8D4D-7F2B9ADDB2CE}
17188,MYS,Kwantas,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{65313B49-8F62-4F65-A1F9-FAD212501AC7},31922.2589120783,48219836.9008619,{65313B49-8F62-4F65-A1F9-FAD212501AC7}
17189,MYS,Kwantas,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{2B606ACC-7C2E-4D3C-882C-7588478ADE8A},79610.8211831991,155063233.49427,{2B606ACC-7C2E-4D3C-882C-7588478ADE8A}
17190,MYS,Kwantas PELITA,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{F5F2B343-5B8D-4F89-A1CB-B08A1E9BBB63},39248.6418046834,20371628.8667567,{F5F2B343-5B8D-4F89-A1CB-B08A1E9BBB63}
17191,MYS,Miracle Harvest,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{6A22E2F5-1259-4638-8DA7-535B527062EA},49905.1986586705,27935629.2271211,{6A22E2F5-1259-4638-8DA7-535B527062EA}
17192,MYS,Kwantas PELITA,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{DC057FF6-D8AC-4082-A9FB-99D5E3E64695},82959.8170436717,107431752.948329,{DC057FF6-D8AC-4082-A9FB-99D5E3E64695}
17193,MYS,Miracle Harvest,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{250A3493-BFB6-4020-AC45-77D7B0631B56},6564.63614398474,2339973.88876162,{250A3493-BFB6-4020-AC45-77D7B0631B56}
17194,MYS,Miracle Harvest,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{85C4F70B-7B6A-4F00-A3DC-DF68245F395E},8735.3650466082,3037009.44016974,{85C4F70B-7B6A-4F00-A3DC-DF68245F395E}
17195,MYS,Miracle Harvest,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{02B05214-7002-4998-886F-641E710AE116},48301.7572268438,15935574.1142179,{02B05214-7002-4998-886F-641E710AE116}
17196,MYS,Miracle Harvest,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{D4264413-CE36-422B-9E68-7CAC2FD313F1},23325.3794758576,10657076.1539801,{D4264413-CE36-422B-9E68-7CAC2FD313F1}
17197,MYS,Miracle Harvest,Kwantas, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{434E6D9A-EC30-428B-A9AD-DA4EDEDA46C0},23397.1066229985,17958314.4625853,{434E6D9A-EC30-428B-A9AD-DA4EDEDA46C0}
17198,MYS,Rinwood Pelita concession boundary,IOI, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{30206860-3E31-4110-89B6-1640B06D9025},45578.3986408039,79293397.5556112,{30206860-3E31-4110-89B6-1640B06D9025}
17199,MYS,Boustead OP,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{FC91DB21-CDE3-4E4D-A293-12EF733A3B82},15770.393982992,4465792.23254374,{FC91DB21-CDE3-4E4D-A293-12EF733A3B82}
17200,MYS,Boustead OP,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{E20F83A8-263B-4E64-9721-0348F351EB29},18583.7963280333,4457170.95701495,{E20F83A8-263B-4E64-9721-0348F351EB29}
17201,MYS,Boustead Kelimut OP,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{CD8E21B4-AC36-4EB6-898D-1845638A2B48},67477.3610994649,40707697.894605,{CD8E21B4-AC36-4EB6-898D-1845638A2B48}
17202,MYS,Boustead Mapai OP,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{AE622534-0EE9-498C-8964-0A51E45CEB4D},46854.526214324,27946192.0834671,{AE622534-0EE9-498C-8964-0A51E45CEB4D}
17203,MYS,Boustead Bawan OP,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{38FE4D1D-3D30-48E8-93B6-3F4C62B29E2D},30398.4560241191,17505754.0427655,{38FE4D1D-3D30-48E8-93B6-3F4C62B29E2D}
17204,MYS,Boustead Jih OP,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{BACE00BE-2588-4D55-B376-9DBA92D90ED0},64213.5132302813,61620453.2251799,{BACE00BE-2588-4D55-B376-9DBA92D90ED0}
17205,MYS,Sg Lelak oil palm estate,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{9FCAB02A-EB93-4EA4-8C3F-2086DE7BAD27},50999.6951972756,66981494.1117471,{9FCAB02A-EB93-4EA4-8C3F-2086DE7BAD27}
17206,MYS,Bukit Limau oil palm estate,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{2196AC36-053D-4AF0-92C4-2142B241025A},46705.9914390034,53121770.0516199,{2196AC36-053D-4AF0-92C4-2142B241025A}
17207,MYS,Loagan Bunut oil palm estate,Boustead, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{CF8EC798-BCFD-4AA0-A2C7-D8FD787387D0},29888.7707148367,41404943.3415496,{CF8EC798-BCFD-4AA0-A2C7-D8FD787387D0}
17208,MYS,Melor Gemilang,Tradewinds, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{6A4A9CA2-46FA-45F6-9500-FDE3A7A7290C},49409.0027611917,87908527.6111913,{6A4A9CA2-46FA-45F6-9500-FDE3A7A7290C}
17209,MYS,Trusan,Tradewinds, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{0891880A-72D6-4EEF-A7A8-98B4C79A6D7E},35201.0216784787,45751532.7935566,{0891880A-72D6-4EEF-A7A8-98B4C79A6D7E}
17210,MYS,Suai,Tradewinds, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{3344C310-2B25-4A3D-92D4-816FBAF239AB},32035.9991128941,35991556.1553657,{3344C310-2B25-4A3D-92D4-816FBAF239AB}
17211,MYS,Merapok,Tradewinds, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{DCDB3C40-CC9B-4B29-8C3E-8128D3F07D7A},30524.8084770054,24824275.8389221,{DCDB3C40-CC9B-4B29-8C3E-8128D3F07D7A}
17212,MYS,Trusan,Tradewinds, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{1AADC6F7-65FA-4DED-A1C5-FF1D58A2D1C9},18819.0861248577,17643607.8118462,{1AADC6F7-65FA-4DED-A1C5-FF1D58A2D1C9}
17213,MYS,Saremas II (Kaminsky),Wilmar, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{AE4242E7-41A4-4AD9-906C-100D56109F96},28538.5680011332,47709303.0831701,{AE4242E7-41A4-4AD9-906C-100D56109F96}
17214,MYS,Suburmas,Wilmar, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{F4BF3E14-3668-4BDB-B169-4CC5E0BD65F3},28080.1366067211,44819699.873629,{F4BF3E14-3668-4BDB-B169-4CC5E0BD65F3}
17215,MYS,Segarmas,Wilmar, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{B6234E6C-8354-4CA2-8B3F-CADDE1089901},31041.9076140633,45366901.8505689,{B6234E6C-8354-4CA2-8B3F-CADDE1089901}
17216,MYS,Suai,Tradewinds, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{6DA4791C-C980-49D4-9923-37F97FF49A65},40137.2202819751,54043568.66506,{6DA4791C-C980-49D4-9923-37F97FF49A65}
17217,MYS,Saremas I,Wilmar, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{8FF2A95E-04F0-44BB-BCA7-DE606B6E74AB},53311.8902123179,97082485.7732184,{8FF2A95E-04F0-44BB-BCA7-DE606B6E74AB}
17218,MYS,Ladang Tabung Haji,THP Oil Palm, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{4B08F1DA-B7DF-41D7-BD0E-680C80D7D61E},53476.5852735054,61771369.4391013,{4B08F1DA-B7DF-41D7-BD0E-680C80D7D61E}
