datetime,timestamp,location,latitude,longitude,request_status,precipIntensityMax_mmhr,precipIntensitySum_mm,temperatureMax_C,temperatureMin_C,temperatureMean_C,humidityMean,sunshineTime,uvIndex,no_daily,no_hourly
2017-02-10 17:00:00+08:00,1486717200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.6,23.69,27.05090909090909,0.8740909090909093,9.470000000000002,48.60000000000001,,
2017-02-11 17:00:00+08:00,1486803600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.77,24.72,27.07090909090909,0.8286363636363636,6.480000000000002,21.07,,
2017-02-12 17:00:00+08:00,1486890000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.64,23.64,26.31333333333333,0.8783333333333333,7.850000000000001,34.52,,
2017-02-13 17:00:00+08:00,1486976400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.59,23.71,26.34545454545454,0.8486363636363635,4.43,12.74,,
2017-02-14 17:00:00+08:00,1487062800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,28.42,24.72,25.58545454545454,0.9050000000000004,8.600000000000001,47.23,,
2017-02-15 17:00:00+08:00,1487149200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,26.55,23.59,24.482380952380954,0.96,5.5500000000000025,31.100000000000005,,
2017-02-16 17:00:00+08:00,1487235600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.34,24.72,26.34133333333333,0.8493333333333335,1.8,3.85,,
2017-02-17 17:00:00+08:00,1487322000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.53,22.79,26.062916666666666,0.8762500000000001,5.610000000000001,24.69,,
2017-02-18 17:00:00+08:00,1487408400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,32.35,24.48,27.55,0.8509090909090911,6.420000000000003,30.54,,
2017-02-19 17:00:00+08:00,1487494800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.49,24.45,26.62681818181818,0.8945454545454545,8.350000000000001,38.2,,
2017-02-20 17:00:00+08:00,1487581200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,32.35,24.72,27.80521739130436,0.8500000000000002,6.730000000000002,25.43,,
2017-02-21 17:00:00+08:00,1487667600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,28.5,24.72,26.21136363636364,0.9209090909090908,9.160000000000002,44.99000000000001,,
